,LOCATION,VARIABLE,TIME,Value
400,NLD,GDPVD_CAP,2045,73583.51
401,NLD,GDPVD_CAP,2046,74809.52
402,NLD,GDPVD_CAP,2047,76053.95
403,NLD,GDPVD_CAP,2048,77314.04
404,NLD,GDPVD_CAP,2049,78583.42
405,NLD,GDPVD_CAP,2050,79855.3
406,NOR,GDPVD_CAP,2022,64659.6728388908
407,NOR,GDPVD_CAP,2023,65173.163073683
408,NOR,GDPVD_CAP,2024,65407.4010587873
409,NOR,GDPVD_CAP,2025,66081.5688963123
410,NOR,GDPVD_CAP,2026,66853.4
411,NOR,GDPVD_CAP,2027,67616.12
412,NOR,GDPVD_CAP,2028,68393.23
413,NOR,GDPVD_CAP,2029,69174.12
414,NOR,GDPVD_CAP,2030,69950.19
415,NOR,GDPVD_CAP,2031,70720.4
416,NOR,GDPVD_CAP,2032,71487.06
417,NOR,GDPVD_CAP,2033,72253.58
418,NOR,GDPVD_CAP,2034,73002.63
419,NOR,GDPVD_CAP,2035,73767.71
420,NOR,GDPVD_CAP,2036,74548.17
421,NOR,GDPVD_CAP,2037,75342.35
422,NOR,GDPVD_CAP,2038,76147.34
423,NOR,GDPVD_CAP,2039,76971.19
424,NOR,GDPVD_CAP,2040,77818.55
425,NOR,GDPVD_CAP,2041,78683.05
426,NOR,GDPVD_CAP,2042,79573.47
427,NOR,GDPVD_CAP,2043,80477.91
428,NOR,GDPVD_CAP,2044,81390.08
429,NOR,GDPVD_CAP,2045,82311.08
430,NOR,GDPVD_CAP,2046,83240.66
431,NOR,GDPVD_CAP,2047,84175.36
432,NOR,GDPVD_CAP,2048,85110.53
433,NOR,GDPVD_CAP,2049,86048.56
434,NOR,GDPVD_CAP,2050,86990.05
435,POL,GDPVD_CAP,2022,35605.5684078415
436,POL,GDPVD_CAP,2023,35697.169098807
437,POL,GDPVD_CAP,2024,36742.5716843367
438,POL,GDPVD_CAP,2025,37953.9068637178
439,POL,GDPVD_CAP,2026,39570.86
440,POL,GDPVD_CAP,2027,41198.23
441,POL,GDPVD_CAP,2028,42743.67
442,POL,GDPVD_CAP,2029,44208.29
443,POL,GDPVD_CAP,2030,45603.92
444,POL,GDPVD_CAP,2031,46949.24
445,POL,GDPVD_CAP,2032,48255.62
446,POL,GDPVD_CAP,2033,49526.2
447,POL,GDPVD_CAP,2034,50711.29
448,POL,GDPVD_CAP,2035,51862.26
449,POL,GDPVD_CAP,2036,52975.85
450,POL,GDPVD_CAP,2037,54050.59
451,POL,GDPVD_CAP,2038,55088.18
452,POL,GDPVD_CAP,2039,56082.0
453,POL,GDPVD_CAP,2040,57031.84
454,POL,GDPVD_CAP,2041,57938.61
455,POL,GDPVD_CAP,2042,58805.85
456,POL,GDPVD_CAP,2043,59637.25
457,POL,GDPVD_CAP,2044,60431.75
458,POL,GDPVD_CAP,2045,61192.64
459,POL,GDPVD_CAP,2046,61930.11
460,POL,GDPVD_CAP,2047,62638.79
461,POL,GDPVD_CAP,2048,63323.04
462,POL,GDPVD_CAP,2049,63994.84
463,POL,GDPVD_CAP,2050,64657.57
464,PRT,GDPVD_CAP,2022,34458.3523043565
465,PRT,GDPVD_CAP,2023,35193.7027060962
466,PRT,GDPVD_CAP,2024,35670.6600669966
467,PRT,GDPVD_CAP,2025,36459.0982328114
468,PRT,GDPVD_CAP,2026,37281.43
469,PRT,GDPVD_CAP,2027,38126.28
470,PRT,GDPVD_CAP,2028,38975.62
471,PRT,GDPVD_CAP,2029,39810.38
472,PRT,GDPVD_CAP,2030,40630.26
473,PRT,GDPVD_CAP,2031,41445.16
474,PRT,GDPVD_CAP,2032,42258.0
475,PRT,GDPVD_CAP,2033,43072.81
476,PRT,GDPVD_CAP,2034,43876.05
477,PRT,GDPVD_CAP,2035,44677.09
478,PRT,GDPVD_CAP,2036,45474.66
479,PRT,GDPVD_CAP,2037,46270.14
480,PRT,GDPVD_CAP,2038,47061.7
481,PRT,GDPVD_CAP,2039,47845.84
482,PRT,GDPVD_CAP,2040,48627.06
483,PRT,GDPVD_CAP,2041,49410.72
484,PRT,GDPVD_CAP,2042,50205.97
485,PRT,GDPVD_CAP,2043,51020.78
486,PRT,GDPVD_CAP,2044,51861.36
487,PRT,GDPVD_CAP,2045,52728.75
488,PRT,GDPVD_CAP,2046,53624.11
489,PRT,GDPVD_CAP,2047,54544.29
490,PRT,GDPVD_CAP,2048,55494.06
491,PRT,GDPVD_CAP,2049,56471.51
492,PRT,GDPVD_CAP,2050,57482.3
493,SVK,GDPVD_CAP,2022,34254.4301652992
494,SVK,GDPVD_CAP,2023,34630.6388350612
495,SVK,GDPVD_CAP,2024,35293.5891602311
496,SVK,GDPVD_CAP,2025,36199.0484928533
497,SVK,GDPVD_CAP,2026,37054.8
498,SVK,GDPVD_CAP,2027,37910.68
499,SVK,GDPVD_CAP,2028,38774.66
500,SVK,GDPVD_CAP,2029,39639.75
501,SVK,GDPVD_CAP,2030,40506.44
502,SVK,GDPVD_CAP,2031,41383.66
503,SVK,GDPVD_CAP,2032,42270.9
504,SVK,GDPVD_CAP,2033,43164.86
505,SVK,GDPVD_CAP,2034,44027.03
506,SVK,GDPVD_CAP,2035,44886.35
507,SVK,GDPVD_CAP,2036,45738.81
508,SVK,GDPVD_CAP,2037,46571.5
509,SVK,GDPVD_CAP,2038,47381.97
510,SVK,GDPVD_CAP,2039,48167.95
511,SVK,GDPVD_CAP,2040,48932.39
512,SVK,GDPVD_CAP,2041,49675.92
513,SVK,GDPVD_CAP,2042,50404.28
514,SVK,GDPVD_CAP,2043,51117.48
515,SVK,GDPVD_CAP,2044,51816.23
516,SVK,GDPVD_CAP,2045,52510.11
517,SVK,GDPVD_CAP,2046,53196.13
518,SVK,GDPVD_CAP,2047,53876.53
519,SVK,GDPVD_CAP,2048,54548.97
520,SVK,GDPVD_CAP,2049,55215.61
521,SVK,GDPVD_CAP,2050,55876.18
522,ESP,GDPVD_CAP,2022,37690.411269666
523,ESP,GDPVD_CAP,2023,38270.8619271783
524,ESP,GDPVD_CAP,2024,38565.2902406851
525,ESP,GDPVD_CAP,2025,39130.1823481542
526,ESP,GDPVD_CAP,2026,39478.2
527,ESP,GDPVD_CAP,2027,39842.91
528,ESP,GDPVD_CAP,2028,40225.8
529,ESP,GDPVD_CAP,2029,40621.41
530,ESP,GDPVD_CAP,2030,41028.07
531,ESP,GDPVD_CAP,2031,41454.65
532,ESP,GDPVD_CAP,2032,41892.3
533,ESP,GDPVD_CAP,2033,42339.26
534,ESP,GDPVD_CAP,2034,42787.17
535,ESP,GDPVD_CAP,2035,43238.92
536,ESP,GDPVD_CAP,2036,43689.52
537,ESP,GDPVD_CAP,2037,44136.78
538,ESP,GDPVD_CAP,2038,44578.91
539,ESP,GDPVD_CAP,2039,45014.29
540,ESP,GDPVD_CAP,2040,45448.16
541,ESP,GDPVD_CAP,2041,45883.0
542,ESP,GDPVD_CAP,2042,46328.84
543,ESP,GDPVD_CAP,2043,46789.17
544,ESP,GDPVD_CAP,2044,47271.74
545,ESP,GDPVD_CAP,2045,47782.13
546,ESP,GDPVD_CAP,2046,48328.06
547,ESP,GDPVD_CAP,2047,48915.2
548,ESP,GDPVD_CAP,2048,49546.8
549,ESP,GDPVD_CAP,2049,50221.46
550,ESP,GDPVD_CAP,2050,50939.74
551,SWE,GDPVD_CAP,2022,53240.8279123358
552,SWE,GDPVD_CAP,2023,52575.0236169486
553,SWE,GDPVD_CAP,2024,52674.0836244805
554,SWE,GDPVD_CAP,2025,53700.8174277225
555,SWE,GDPVD_CAP,2026,54974.39
556,SWE,GDPVD_CAP,2027,56146.02
557,SWE,GDPVD_CAP,2028,57180.32
558,SWE,GDPVD_CAP,2029,58125.33
559,SWE,GDPVD_CAP,2030,59033.99
560,SWE,GDPVD_CAP,2031,59939.24
561,SWE,GDPVD_CAP,2032,60859.42
562,SWE,GDPVD_CAP,2033,61800.64
563,SWE,GDPVD_CAP,2034,62764.78
564,SWE,GDPVD_CAP,2035,63759.96
565,SWE,GDPVD_CAP,2036,64783.91
566,SWE,GDPVD_CAP,2037,65832.77
567,SWE,GDPVD_CAP,2038,66904.57
