,LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,Scenario
619,GBR,2032,32539577.025292467,12314942.27335521,0.3784604287813272,0.0121679078112186,0.6093716634074542,CIR
620,GBR,2033,32696810.86438348,12000799.65294505,0.3670327269139718,0.0100429813462455,0.6229242917397827,CIR
621,GBR,2034,32853848.51915859,11671262.823106132,0.35524796482518883,0.0082857744744331,0.636466260700378,CIR
622,GBR,2035,33010306.462433115,11328023.733363979,0.34316626979078996,0.00683373020921,0.65,CIR
623,GBR,2036,33166394.366324004,11421359.061514765,0.3443654120301848,0.0056345879698152,0.65,CIR
624,GBR,2037,33321235.3541395,11507661.869259207,0.3453551990781641,0.0046448009218359,0.65,CIR
625,GBR,2038,33475821.60564676,11588386.778122287,0.346171840519294,0.003828159480706,0.65,CIR
626,GBR,2039,33628089.52749553,11663747.924677245,0.3468453929010908,0.0031546070989092,0.65,CIR
627,GBR,2040,33778703.68958638,11734747.667352539,0.34740076988123847,0.0025992301187615,0.65,CIR
628,GBR,2041,33926943.02487704,11801778.838879973,0.34785859811260567,0.0021414018873943,0.65,CIR
629,GBR,2042,34071653.6673563,11864974.29254195,0.3482359385423567,0.0017640614576433,0.65,CIR
630,GBR,2043,34212103.86970828,11924522.461508445,0.3485468916767358,0.0014531083232642,0.65,CIR
631,GBR,2044,34347242.88766599,11980424.923352113,0.3488031037173658,0.0011968962826342,0.65,CIR
632,GBR,2045,34476282.42344925,12032711.736511637,0.3490141886158676,0.0009858113841324,0.65,CIR
633,GBR,2046,34599757.665981546,12081822.92058892,0.34918807921212,0.00081192078788,0.65,CIR
634,GBR,2047,34716209.80665675,12127459.356512895,0.3493313188292659,0.0006686811707341,0.65,CIR
635,GBR,2048,34825715.935070924,12169822.161908468,0.3494493030551874,0.0005506969448126,0.65,CIR
636,GBR,2049,34928278.34147411,12209056.745732745,0.3495464799716629,0.0004535200283371,0.65,CIR
637,GBR,2050,35022648.002306536,12244846.395279866,0.34962651580410026,0.0003734841958997,0.65,CIR
638,BGR,2022,3143101.7451891424,336634.93911085284,0.10710278139296925,0.5320804645918191,0.36081675401521157,CIR
639,BGR,2023,3141923.635763648,395129.30475144216,0.12576031455818804,0.49062779421892966,0.38361189122288225,CIR
640,BGR,2024,3149894.5531910234,450658.8886788021,0.1430711031968543,0.4506337189741651,0.4062951778289806,CIR
641,BGR,2025,3168084.1985088545,503901.1636412799,0.15905548339859615,0.4120757022948152,0.42886881430658863,CIR
642,BGR,2026,3197424.745596547,555495.4746229664,0.1737321497207988,0.37493036407308794,0.4513374862061133,CIR
643,BGR,2027,3221764.239331364,602853.2331662513,0.18711897841766528,0.33917354491743007,0.47370747666490465,CIR
644,BGR,2028,3239268.3922353843,645371.2143226626,0.19923363431990854,0.30478037049037127,0.4959859951897202,CIR
645,BGR,2029,3250552.939298755,682921.6791938449,0.21009400306557452,0.27172531567264085,0.5181806812617846,CIR
646,BGR,2030,3257208.6155134505,715668.9428084603,0.21971848514702697,0.23998226831501712,0.5402992465379559,CIR
647,BGR,2031,3260806.263562775,743875.2851495312,0.22812618261373457,0.20952459235205662,0.5623492250342088,CIR
648,BGR,2032,3262262.0992683508,767730.9882673298,0.235337003865972,0.1803251900653675,0.5843378060686605,CIR
649,BGR,2033,3262239.1385037457,787412.229846354,0.2413717071052944,0.1523565632982752,0.6062717295964304,CIR
650,BGR,2034,3262447.458637114,803383.8814267432,0.24625189880064963,0.12559087343843284,0.6281572277609175,CIR
651,BGR,2035,3261150.611649007,815287.6529122518,0.25,0.09999999999999998,0.65,CIR
652,BGR,2036,3258556.17354613,814639.0433865325,0.25,0.09999999999999998,0.65,CIR
653,BGR,2037,3254865.6836276283,813716.4209069071,0.25,0.09999999999999998,0.65,CIR
654,BGR,2038,3250476.811542326,812619.2028855815,0.25,0.09999999999999998,0.65,CIR
655,BGR,2039,3245264.1139860097,811316.0284965024,0.25,0.09999999999999998,0.65,CIR
656,BGR,2040,3239042.858584366,809760.7146460915,0.25,0.09999999999999998,0.65,CIR
657,BGR,2041,3232113.626993512,808028.406748378,0.25,0.09999999999999998,0.65,CIR
658,BGR,2042,3224583.899126618,806145.9747816545,0.25,0.09999999999999998,0.65,CIR
659,BGR,2043,3216560.8576536323,804140.2144134081,0.25,0.09999999999999998,0.65,CIR
660,BGR,2044,3208243.306771775,802060.8266929437,0.25,0.09999999999999998,0.65,CIR
661,BGR,2045,3199552.517664801,799888.1294162002,0.25,0.09999999999999998,0.65,CIR
662,BGR,2046,3190623.2428388237,797655.8107097059,0.25,0.09999999999999998,0.65,CIR
663,BGR,2047,3181355.6074073343,795338.9018518336,0.25,0.09999999999999998,0.65,CIR
664,BGR,2048,3171780.4363508876,792945.1090877219,0.25,0.09999999999999998,0.65,CIR
665,BGR,2049,3161837.19247461,790459.2981186525,0.25,0.09999999999999998,0.65,CIR
666,BGR,2050,3151471.812275793,787867.9530689482,0.25,0.09999999999999998,0.65,CIR
