STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type,BASE_PER,Base period,PRICE_BASE,Price base
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2009,,589.9431,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2010,,562.2487,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2011,,573.0441,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2012,,579.4944,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2013,,578.6088,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2014,,565.6646,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2015,,560.402,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2016,,563.8569,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2017,,570.5467,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2018,,579.2227,,A,Normal value,0,Units,1,One,,,,,,
