unit,waste,Waste categories,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,NUTS_code
T,W061,"Metal wastes, ferrous",Belgium,2012,,BEL
T,W061,"Metal wastes, ferrous",Belgium,2014,,BEL
T,W061,"Metal wastes, ferrous",Belgium,2016,,BEL
T,W061,"Metal wastes, ferrous",Belgium,2018,,BEL
T,W061,"Metal wastes, ferrous",Belgium,2020,,BEL
T,W061,"Metal wastes, ferrous",Belgium,2022,,BEL
T,W061,"Metal wastes, ferrous",Bulgaria,2010,,BGR
T,W061,"Metal wastes, ferrous",Bulgaria,2012,,BGR
T,W061,"Metal wastes, ferrous",Bulgaria,2014,,BGR
T,W061,"Metal wastes, ferrous",Bulgaria,2016,,BGR
T,W061,"Metal wastes, ferrous",Bulgaria,2018,,BGR
T,W061,"Metal wastes, ferrous",Bulgaria,2020,,BGR
T,W061,"Metal wastes, ferrous",Bulgaria,2022,,BGR
T,W061,"Metal wastes, ferrous",Cyprus,2010,,CYP
T,W061,"Metal wastes, ferrous",Cyprus,2012,,CYP
T,W061,"Metal wastes, ferrous",Cyprus,2014,,CYP
T,W061,"Metal wastes, ferrous",Cyprus,2016,,CYP
T,W061,"Metal wastes, ferrous",Cyprus,2018,,CYP
T,W061,"Metal wastes, ferrous",Cyprus,2020,,CYP
T,W061,"Metal wastes, ferrous",Cyprus,2022,,CYP
T,W061,"Metal wastes, ferrous",Czechia,2010,,CZE
T,W061,"Metal wastes, ferrous",Czechia,2012,,CZE
T,W061,"Metal wastes, ferrous",Czechia,2014,,CZE
T,W061,"Metal wastes, ferrous",Czechia,2016,,CZE
T,W061,"Metal wastes, ferrous",Czechia,2018,,CZE
T,W061,"Metal wastes, ferrous",Czechia,2020,,CZE
T,W061,"Metal wastes, ferrous",Czechia,2022,,CZE
T,W061,"Metal wastes, ferrous",Germany,2010,,DEU
T,W061,"Metal wastes, ferrous",Germany,2012,,DEU
T,W061,"Metal wastes, ferrous",Germany,2014,,DEU
T,W061,"Metal wastes, ferrous",Germany,2016,,DEU
T,W061,"Metal wastes, ferrous",Germany,2018,,DEU
T,W061,"Metal wastes, ferrous",Germany,2020,,DEU
T,W061,"Metal wastes, ferrous",Germany,2022,,DEU
T,W061,"Metal wastes, ferrous",Denmark,2010,,DNK
T,W061,"Metal wastes, ferrous",Denmark,2012,,DNK
T,W061,"Metal wastes, ferrous",Denmark,2014,,DNK
T,W061,"Metal wastes, ferrous",Denmark,2016,,DNK
T,W061,"Metal wastes, ferrous",Denmark,2018,,DNK
T,W061,"Metal wastes, ferrous",Denmark,2020,,DNK
T,W061,"Metal wastes, ferrous",Denmark,2022,,DNK
T,W061,"Metal wastes, ferrous",Estonia,2010,,EST
T,W061,"Metal wastes, ferrous",Estonia,2012,,EST
T,W061,"Metal wastes, ferrous",Estonia,2014,,EST
T,W061,"Metal wastes, ferrous",Estonia,2016,,EST
T,W061,"Metal wastes, ferrous",Estonia,2018,,EST
T,W061,"Metal wastes, ferrous",Estonia,2020,,EST
T,W061,"Metal wastes, ferrous",Estonia,2022,,EST
T,W061,"Metal wastes, ferrous",Greece,2010,,GRC
T,W061,"Metal wastes, ferrous",Greece,2012,,GRC
T,W061,"Metal wastes, ferrous",Greece,2014,,GRC
T,W061,"Metal wastes, ferrous",Greece,2016,,GRC
T,W061,"Metal wastes, ferrous",Greece,2018,,GRC
T,W061,"Metal wastes, ferrous",Greece,2020,,GRC
T,W061,"Metal wastes, ferrous",Greece,2022,,GRC
T,W061,"Metal wastes, ferrous",Spain,2010,,ESP
T,W061,"Metal wastes, ferrous",Spain,2012,,ESP
T,W061,"Metal wastes, ferrous",Spain,2014,,ESP
T,W061,"Metal wastes, ferrous",Spain,2016,,ESP
T,W061,"Metal wastes, ferrous",Spain,2018,,ESP
T,W061,"Metal wastes, ferrous",Spain,2020,,ESP
T,W061,"Metal wastes, ferrous",Spain,2022,,ESP
T,W061,"Metal wastes, ferrous",European Union - 27 countries (from 2020),2010,,EU27_2020
T,W061,"Metal wastes, ferrous",European Union - 27 countries (from 2020),2012,,EU27_2020
T,W061,"Metal wastes, ferrous",European Union - 27 countries (from 2020),2014,,EU27_2020
T,W061,"Metal wastes, ferrous",European Union - 27 countries (from 2020),2016,,EU27_2020
T,W061,"Metal wastes, ferrous",European Union - 27 countries (from 2020),2018,,EU27_2020
T,W061,"Metal wastes, ferrous",European Union - 27 countries (from 2020),2020,,EU27_2020
T,W061,"Metal wastes, ferrous",European Union - 27 countries (from 2020),2022,,EU27_2020
T,W061,"Metal wastes, ferrous",European Union - 28 countries (2013-2020),2010,,
T,W061,"Metal wastes, ferrous",European Union - 28 countries (2013-2020),2012,,
T,W061,"Metal wastes, ferrous",European Union - 28 countries (2013-2020),2014,,
T,W061,"Metal wastes, ferrous",European Union - 28 countries (2013-2020),2016,,
T,W061,"Metal wastes, ferrous",European Union - 28 countries (2013-2020),2018,,
T,W061,"Metal wastes, ferrous",Finland,2010,,FIN
T,W061,"Metal wastes, ferrous",Finland,2012,,FIN
T,W061,"Metal wastes, ferrous",Finland,2014,,FIN
T,W061,"Metal wastes, ferrous",Finland,2016,,FIN
T,W061,"Metal wastes, ferrous",Finland,2018,,FIN
T,W061,"Metal wastes, ferrous",Finland,2020,,FIN
T,W061,"Metal wastes, ferrous",Finland,2022,,FIN
T,W061,"Metal wastes, ferrous",France,2010,,FRA
T,W061,"Metal wastes, ferrous",France,2012,,FRA
T,W061,"Metal wastes, ferrous",France,2014,,FRA
T,W061,"Metal wastes, ferrous",France,2016,,FRA
T,W061,"Metal wastes, ferrous",France,2018,,FRA
T,W061,"Metal wastes, ferrous",France,2020,,FRA
T,W061,"Metal wastes, ferrous",France,2022,,FRA
T,W061,"Metal wastes, ferrous",Croatia,2010,,HRV
