Element,Unit,Fraction,n_data*,n_<DL**,Min,10%,25%,Median,75%,90%,Max
LHV,MJ/kgTS,mix,57,,0.0,4.9,8.5,14.4,19.0,24.1,31.3
Li,mg/kgTS,organic,1,1,0.20,0.20,0.20,0.20,0.20,0.20,0.20
Li,mg/kgTS,food waste,,,,,,,,,
Li,mg/kgTS,gardening waste,,,,,,,,,
Li,mg/kgTS,paper & cardboard,2,,3.14,3.14,3.14,3.18,3.22,3.22,3.22
Li,mg/kgTS,composites,,,,,,,,,
Li,mg/kgTS,plastic,1,,0.69,0.69,0.69,0.69,0.69,0.69,0.69
Li,mg/kgTS,combustibles,2,1,0.20,0.20,0.20,0.77,1.33,1.33,1.33
Li,mg/kgTS,metal,1,1,0.70,0.70,0.70,0.70,0.70,0.70,0.70
Li,mg/kgTS,glass,1,,30.90,30.90,30.90,30.90,30.90,30.90,30.90
Li,mg/kgTS,inert,1,,12.30,12.30,12.30,12.30,12.30,12.30,12.30
Li,mg/kgTS,mix,9,,7.89,7.89,8.70,9.86,14.94,18.31,18.31
Mg,mg/kgTS,organic,30,,1000,1020,1375,1695,1949,3060,7598
Mg,mg/kgTS,food waste,60,,136,188,236,274,881,1400,2386
Mg,mg/kgTS,gardening waste,18,,239,564,1209,1850,2230,4708,4780
Mg,mg/kgTS,paper & cardboard,17,,43,169,651,1210,1645,2817,2845
Mg,mg/kgTS,composites,4,,127,127,140,1060,2233,2330,2330
Mg,mg/kgTS,plastic,9,,19,19,142,344,1213,2170,2170
Mg,mg/kgTS,combustibles,23,,13,21,375,917,1820,3792,5920
Mg,mg/kgTS,metal,6,,105,105,119,756,4060,11800,11800
Mg,mg/kgTS,glass,6,,4800,4800,7949,9370,10780,11020,11020
Mg,mg/kgTS,inert,9,,0,0,1200,2350,11125,13400,13400
Mg,mg/kgTS,mix,55,,345,1117,1874,3039,4000,4903,20160
Mn,mg/kgTS,organic,45,,0.0,67.8,110.7,185.5,308.6,422.2,490.6
Mn,mg/kgTS,food waste,58,,0.0,5.9,9.2,16.5,28.4,56.0,193.0
Mn,mg/kgTS,gardening waste,18,,21.6,52.6,111.3,198.6,287.9,338.9,433.0
Mn,mg/kgTS,paper & cardboard,22,,0.0,13.2,20.3,34.7,45.3,58.3,88.2
Mn,mg/kgTS,composites,4,,2.2,2.2,5.7,39.5,132.0,155.0,155.0
Mn,mg/kgTS,plastic,11,,7.7,7.7,10.0,14.0,82.0,178.2,195.0
Mn,mg/kgTS,combustibles,31,,4.8,8.1,15.0,36.0,89.0,202.6,248.0
Mn,mg/kgTS,metal,10,,6.3,29.7,1327.5,1775.0,3722.5,5053.0,5140.0
Mn,mg/kgTS,glass,8,,61.0,61.0,93.8,125.5,145.3,199.0,199.0
Mn,mg/kgTS,inert,11,,0.0,16.4,145.0,412.0,532.0,1503.4,1710.0
Mn,mg/kgTS,mix,68,,30.9,149.0,190.2,290.2,412.0,536.7,1476.0
Mo,mg/kgTS,organic,17,,0.34,0.60,0.75,0.81,14.15,24.44,29.00
Mo,mg/kgTS,food waste,44,41,0.30,3.55,6.00,6.00,6.00,6.00,6.00
Mo,mg/kgTS,gardening waste,15,4,0.65,0.86,1.20,1.89,3.06,3.82,4.17
Mo,mg/kgTS,paper & cardboard,15,1,0.32,0.40,0.50,0.79,1.50,3.86,4.10
Mo,mg/kgTS,composites,2,,0.11,0.11,0.11,0.15,0.19,0.19,0.19
Mo,mg/kgTS,plastic,7,,0.92,0.92,1.30,1.95,2.50,2.80,2.80
Mo,mg/kgTS,combustibles,21,5,0.12,0.13,0.17,1.00,2.10,4.92,8.50
Mo,mg/kgTS,metal,10,2,1.40,1.42,2.50,8.20,27.25,32.59,33.10
Mo,mg/kgTS,glass,7,1,0.75,0.75,1.00,1.20,2.30,45.00,45.00
Mo,mg/kgTS,inert,8,1,0.54,0.54,1.68,6.67,12.95,195.00,195.00
Mo,mg/kgTS,mix,17,,2.00,2.18,4.75,7.70,11.61,18.33,18.42
N,%TS,organic,104,,0.56%,1.40%,1.61%,2.30%,2.60%,2.80%,6.00%
N,%TS,food waste,212,,0.00%,1.59%,2.39%,3.01%,3.50%,4.55%,12.23%
N,%TS,gardening waste,49,,0.10%,0.33%,0.57%,1.09%,2.00%,3.40%,3.40%
N,%TS,paper & cardboard,114,1,0.00%,0.09%,0.10%,0.20%,0.30%,0.49%,1.69%
N,%TS,composites,42,,0.00%,0.00%,0.12%,0.35%,0.83%,1.67%,3.50%
N,%TS,plastic,116,1,0.00%,0.00%,0.06%,0.20%,0.53%,1.03%,6.00%
N,%TS,combustibles,146,,0.00%,0.18%,0.47%,1.22%,3.03%,4.60%,10.00%
N,%TS,metal,13,3,0.00%,0.00%,0.00%,0.10%,0.40%,1.05%,1.05%
N,%TS,glass,13,3,0.00%,0.00%,0.00%,0.04%,0.10%,0.65%,0.88%
N,%TS,inert,14,,0.00%,0.00%,0.00%,0.08%,0.50%,1.46%,1.81%
