Material type,Waste flow,Physiochemical property,Unit,min,max,diff,sector
glass,residual,Al,mg/kgTS,6576.0,10551.0,0.604470802919708,MSW_URB_GLA
glass,residual,As,mg/kgTS,2.41,13.56,4.62655601659751,MSW_URB_GLA
glass,residual,Au,mg/kgTS,0.221,0.233667,0.05731674208144802,MSW_URB_GLA
glass,residual,Ba,mg/kgTS,385.46,5529.2,13.344419654438852,MSW_URB_GLA
glass,residual,Be,mg/kgTS,1.33397,1.41047,0.057347616513114825,MSW_URB_GLA
glass,residual,Br,%TS,0.001,0.001,0.0,MSW_URB_GLA
glass,residual,C,%TS,0.2533,1.6033,5.32964863797868,MSW_URB_GLA
glass,residual,Ca,mg/kgTS,64090.0,78877.0,0.23072242159463255,MSW_URB_GLA
glass,residual,Cd,mg/kgTS,0.15807,1.3274,7.3975453912823435,MSW_URB_GLA
glass,residual,Ce,mg/kgTS,15.84,229.599,13.494886363636363,MSW_URB_GLA
glass,residual,Cl,%TS,0.00517,0.03393,5.562862669245648,MSW_URB_GLA
glass,residual,Co,mg/kgTS,1.229,7.893,5.422294548413343,MSW_URB_GLA
glass,residual,Cr,mg/kgTS,3.85,970.15,250.98701298701297,MSW_URB_GLA
glass,residual,Cs,mg/kgTS,1.0653,7.3001,5.852623674082419,MSW_URB_GLA
glass,residual,Cu,mg/kgTS,4.233,24.614,4.814788566028821,MSW_URB_GLA
glass,residual,Dy,mg/kgTS,0.37883,0.62293,0.6443523480189003,MSW_URB_GLA
glass,residual,Er,mg/kgTS,0.9604,23.5881,23.56070387338609,MSW_URB_GLA
glass,residual,Eu,mg/kgTS,0.20267,0.7053,2.4800414466867324,MSW_URB_GLA
glass,residual,F,%TS,0.001,0.027267,26.267,MSW_URB_GLA
glass,residual,Fe,mg/kgTS,297.4,2933.9,8.86516476126429,MSW_URB_GLA
glass,residual,Ga,mg/kgTS,7.7759,88.4225,10.371352512249386,MSW_URB_GLA
glass,residual,Gd,mg/kgTS,0.55413,1.37263,1.4770902134878097,MSW_URB_GLA
glass,residual,Ge,mg/kgTS,0.55443,0.67167,0.21146041880850605,MSW_URB_GLA
glass,residual,H,%TS,0.11445,0.22333,0.9513324595893404,MSW_URB_GLA
glass,residual,HHV,MJ/kgTS,0.2,0.746733,2.7336649999999993,MSW_URB_GLA
glass,residual,Hf,mg/kgTS,2.67577,3.9397,0.4723612268618006,MSW_URB_GLA
glass,residual,Hg,μg/kgTS,2.4,2.4,0.0,MSW_URB_GLA
glass,residual,Ho,mg/kgTS,0.082533,0.143433,0.7378866635164117,MSW_URB_GLA
glass,residual,In,mg/kgTS,0.007567,0.022267,1.9426456984273819,MSW_URB_GLA
glass,residual,Ir,mg/kgTS,0.28097,0.29707,0.057301491262412366,MSW_URB_GLA
glass,residual,K,mg/kgTS,4294.3,6058.6,0.4108469366369374,MSW_URB_GLA
glass,residual,LHV,MJ/kgTS,0.174713681,0.7095328922999999,3.0611181004193933,MSW_URB_GLA
glass,residual,La,mg/kgTS,3.4538,19.1528,4.545428223985175,MSW_URB_GLA
glass,residual,Li,mg/kgTS,29.111,247.769,7.511181340386796,MSW_URB_GLA
glass,residual,Lu,mg/kgTS,0.036267,0.087467,1.4117517302230678,MSW_URB_GLA
glass,residual,Mg,mg/kgTS,3506.0,12449.9,2.551026811180833,MSW_URB_GLA
glass,residual,Mn,mg/kgTS,57.09,321.02,4.6230513224732865,MSW_URB_GLA
glass,residual,Mo,mg/kgTS,1.41843,8.07063,4.689833125356908,MSW_URB_GLA
glass,residual,N,%TS,0.039808,0.07,0.7584405144694534,MSW_URB_GLA
glass,residual,Na,mg/kgTS,83307.0,98601.0,0.18358601318016493,MSW_URB_GLA
glass,residual,Nb,mg/kgTS,0.8068,6.6006,7.181209717402083,MSW_URB_GLA
glass,residual,Nd,mg/kgTS,2.6829,10.2781,2.8309664914830965,MSW_URB_GLA
glass,residual,Ni,mg/kgTS,2.4631,11.4175,3.6354187812106695,MSW_URB_GLA
