,LOCATION,TIME,GDPVD_CAP,POP,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,MSW_GEN_CAP_KG/PS
802,SWE,2033,61800.64,11227319.1773288,5423538.003487122,2901450.4005712764,0.5349737383062049,7.692091979123238e-06,0.465018569601816,483.06616368748223
803,SWE,2034,62764.78,11285303.2075393,5483087.004402773,2933307.0053613847,0.5349736385736752,5.481310940389666e-06,0.46502088011538445,485.86084959947937
804,SWE,2035,63759.96,11342095.9617392,5542972.062954402,2965342.9546005167,0.5349734620563811,3.905923172058627e-06,0.4650226320204469,488.7079144500944
805,SWE,2036,64783.91,11397921.6525808,5603201.668100041,2997563.0421816753,0.534973256316527,2.7833155507873306e-06,0.4650239603679222,491.59854216328324
806,SWE,2037,65832.77,11453094.0378607,5663782.996369892,3029971.2589162956,0.5349730490836788,1.9833567267580897e-06,0.4650249675595945,494.51990681705934
807,SWE,2038,66904.57,11507670.8223688,5724663.093431213,3062539.3615497495,0.5349728554443444,1.4133149824830684e-06,0.46502573124067315,497.46496765475064
808,SWE,2039,67999.64,11561442.4276162,5785729.789939131,3095207.3865535264,0.5349726826053676,1.007110000568589e-06,0.46502631028463176,500.43321377608277
809,SWE,2040,69113.89,11614994.3155935,5847132.064620775,3128055.0514850887,0.5349725330152884,7.176533609866872e-07,0.46502674933135074,503.4123914095088
810,SWE,2041,70246.07,11668547.8086706,5908933.027563531,3161116.120902973,0.534972406381532,5.113902508628296e-07,0.46502708222821726,506.3983217494086
811,SWE,2042,71395.63,11722071.0515765,5971092.244131511,3194368.957032557,0.5349723009508078,3.644098430239691e-07,0.4650273346393491,509.38884586682815
812,SWE,2043,72561.98,11775233.3055944,6033415.340170249,3227709.5643371074,0.5349722143024267,2.596735447642929e-07,0.46502752602402847,512.3818088006614
813,SWE,2044,73739.67,11828276.1648006,6095855.234269334,3261112.743113626,0.5349721438233124,1.8503985525386993e-07,0.4650276711368324,515.3629446368357
814,SWE,2045,74924.0,11881209.5300103,6158275.756880191,3294505.6338443602,0.534972086978023,1.3185689041177923e-07,0.46502778116508664,518.3206088004116
815,SWE,2046,76112.02,11933931.1238845,6220538.480027337,3327814.1695738337,0.5349720414492491,9.395942748986312e-08,0.4650278645913234,521.2480628095454
816,SWE,2047,77305.54,11985796.584443,6282360.425615321,3360886.9542715554,0.5349720051985677,6.695420875021579e-08,0.4650279278472236,524.150429331458
817,SWE,2048,78502.87,12036670.7657533,6343617.145000378,3393657.4020925486,0.5349719764798868,4.771065660182994e-08,0.4650279758094566,527.0242302422375
818,SWE,2049,79702.34,12086297.4150138,6404120.741035032,3426024.9853716637,0.5349719538263968,3.399796313541583e-08,0.46502801217564,529.866221319337
819,SWE,2050,80900.91,12134567.7019802,6463721.95169165,3457909.8464180385,0.5349719360241127,2.422648456159178e-08,0.4650280397494027,532.6701461838526
820,CHE,2010,63240.046459685,7827970.0,5565000.0,2757000.0,0.4954177897574124,0.0,0.5045822102425876,711.0
821,CHE,2011,63757.0577745695,7912398.0,5478000.0,2732000.0,0.49872216137276376,0.0,0.5012778386272362,692.0
822,CHE,2012,63843.2318757216,7996861.0,5576000.0,2786000.0,0.4996413199426112,0.0,0.5003586800573888,697.0
823,CHE,2013,64274.5804832764,8089345.5,5708000.0,2798000.0,0.49018920812894184,0.0,0.5098107918710582,706.0
824,CHE,2014,64968.4222705084,8188648.5,6006000.0,2790000.0,0.4645354645354645,0.0,0.5354645354645354,733.0
825,CHE,2015,65245.120370586,8282396.0,6030000.0,2850000.0,0.472636815920398,0.0,0.527363184079602,728.0
826,CHE,2016,65881.0157734651,8373338.0,6050000.0,2876000.0,0.47537190082644626,0.0,0.5246280991735537,723.0
827,CHE,2017,66205.9667014164,8451840.0,5992000.0,2846000.0,0.4749666221628838,0.0,0.5250333778371161,709.0
828,CHE,2018,67597.0321669298,8514328.0,6012000.0,2856000.0,0.4750499001996008,0.0,0.5249500998003992,706.0
829,CHE,2019,67894.1466864424,8575280.0,6079000.0,2857000.0,0.4699786149037671,0.0,0.530021385096233,709.0
830,CHE,2020,65865.8116659092,8638166.5,6096000.0,2875000.0,0.4716207349081365,0.0,0.5283792650918635,706.0
831,CHE,2021,68888.74201299,8704545.5,6130000.0,2926000.0,0.4773246329526917,0.0,0.532952691680261,704.0
832,CHE,2022,70103.4488490808,8781667.5,6299343.293945534,2973534.1665057363,0.472038755113359,0.00012697114205468038,0.5278342737445862,717.3288323596325
833,CHE,2023,70235.9374423414,8839133.84125601,6344917.940529549,2991496.4452076377,0.4714791386187678,9.516565892743707e-05,0.5284256957223048,717.82123163642
834,CHE,2024,70516.6702781501,8882516.26993464,6385303.442243203,3007386.4419637253,0.47098567345567044,7.132516633051078e-05,0.5289430013779991,718.8620035356477
835,CHE,2025,71119.0862529723,8928629.40351789,6438288.409422942,3029544.2409746572,0.4705511850852597,5.3455920036788646e-05,0.5293953589947035,721.0836197195338
836,CHE,2026,71543.33,8977277.89630832,6487328.03744718,3050141.2235607207,0.4701691059792589,4.0062836056367275e-05,0.5297908311846847,722.6386564367057
837,CHE,2027,71906.13,9028429.92035403,6536243.026855263,3070945.7657219786,0.4698334736184804,3.002494523220023e-05,0.5301365014362874,723.9623150997398
838,CHE,2028,72282.11,9078754.41685332,6585075.931381187,3091949.3770515216,0.46953891029818395,2.250187720583833e-05,0.5304385878246102,725.3281264175404
839,CHE,2029,72701.95,9127546.04840178,6634322.141647491,3113358.6191686606,0.46928059155046176,1.6863676924700597e-05,0.5307025447726136,726.8461979229511
840,CHE,2030,73177.02,9174631.90305665,6684224.60879105,3135263.6802678383,0.4690542080444693,1.2638151157055075e-05,0.5309331538043737,728.5550722273787
841,CHE,2031,73707.48,9219706.89793522,6734554.775955051,3157535.9047637726,0.4688559243793501,9.471377147086681e-06,0.5311346042435028,730.452155421912
842,CHE,2032,74289.11,9262871.14066853,6785229.387850729,3180117.1673949542,0.46868233712026053,7.098089174609071e-06,0.5313105647905648,732.5190305261029
843,CHE,2033,74918.51,9304425.49500786,6836336.539456938,3203031.72341353,0.46853043365064806,5.319475640002182e-06,0.531464246873712,734.7403171882955
844,CHE,2034,75575.7,9346808.25181137,6888998.810687807,3226790.1845232844,0.4683975528515322,3.986534139358633e-06,0.5315984606143285,737.0429161583313
845,CHE,2035,76280.0,9387511.75386434,6941988.569756386,3250803.766745331,0.4682813482159639,2.9875942755224813e-06,0.5317156641897606,739.4918644867462
846,CHE,2036,77031.5,9426387.25605702,6995170.627348374,3274997.261558871,0.4681797537225062,2.2389652381568946e-06,0.5318180073122556,742.0839434379864
847,CHE,2037,77820.88,9464291.35513252,7048850.422683429,3299503.1090477947,0.4680909525941829,1.6779259248457663e-06,0.5319073694798923,744.7837517027423
848,CHE,2038,78648.14,9500771.24962881,7102666.094862169,3324142.545426753,0.4680133489354549,1.2574710447709984e-06,0.5319853935935004,747.5883702746412
849,CHE,2039,79508.67,9535789.70161861,7156413.919883394,3348811.9916035365,0.4679455421519416,9.423734348841765e-07,0.5320535154746235,750.4794195145327
850,CHE,2040,80392.55,9569783.86644232,7210080.6777641205,3373497.999881198,0.4678863040028195,7.062329086886362e-07,0.5321129897642718,753.4214751753377
851,CHE,2041,81293.91,9602688.37236768,7263412.456939358,3398075.3571231496,0.4678345581045281,5.292645087208158e-07,0.5321649126309631,756.3936447047756
852,CHE,2042,82203.31,9634878.09568188,7316381.261206306,3422525.3200569996,0.46778936168953866,3.9664092564239074e-07,0.5322102416695357,759.3641755037182
853,CHE,2043,83117.07,9666085.4033629,7368660.270305171,3446690.0266112178,0.46774988942032936,2.9725024467336433e-07,0.532249813329426,762.3210392638949
854,CHE,2044,84029.6,9696390.30429041,7420129.311295553,3470508.8903315165,0.4677154190626317,2.2276495987494772e-07,0.5322843581724084,765.2465586097882
855,CHE,2045,84931.89,9726384.7721413,7470961.509655231,3494059.015615259,0.4676853188307354,1.6694426611751717e-07,0.5323145142249985,768.1128892878942
856,CHE,2046,85825.38,9755636.39983466,7520873.099074628,3517204.265115916,0.4676590362292743,1.2511117805523504e-07,0.5323408386595476,770.9259335661682
857,CHE,2047,86708.86,9784283.98346273,7569935.605914155,3539975.0748956907,0.4676360882290753,9.376067017128701e-08,0.5323638180102546,773.683145206002
858,CHE,2048,87586.73,9811952.69654197,7617993.6137082325,3562296.1025906345,0.467616052628404,7.026600783613092e-08,0.5323838771055882,776.3993416308504
859,CHE,2049,88462.0,9838495.08580385,7665019.907668098,3584152.274758577,0.46759856046466175,5.2658665318547854e-08,0.5324013868766729,779.0845897487004
860,CHE,2050,89336.25,9863903.25000654,7711050.032207659,3605558.1384393736,0.4675832893548363,3.946339166892296e-08,0.532416671181772,781.7442889256388
861,GBR,2010,39992.3400094022,62760000.0,31954510.0,4124229.9999999995,0.1290646122628953,0.4595723893490706,0.4022873580376263,509.1585
862,GBR,2011,40114.725183163,63285000.0,31066060.0,5039680.0,0.1622244704756859,0.40474356444599235,0.42025308357722196,490.8902
863,GBR,2012,40453.1623787828,63705000.0,30412980.0,5698300.0,0.186997928954373,0.37019899561998953,0.4253434171387312,477.4031
864,GBR,2013,40920.6327705184,64106000.0,30890000.0,6510000.0,0.21008132180198785,0.3399057699754744,0.43094100942300245,481.8608
865,GBR,2014,41907.3905381066,64597000.0,31131000.0,8265000.0,0.2651162790697674,0.27926222935044104,0.4343223736968725,481.9283
866,GBR,2015,42500.3246065846,65110000.0,31475000.0,9913000.0,0.31441892920578535,0.2289076376554174,0.43323395077391524,483.4124
867,GBR,2016,42961.7920889136,65648000.0,31710000.0,10954000.0,0.3446604996538921,0.19023346548360706,0.4393052671323391,483.0303
868,GBR,2017,43840.6744009667,66040000.0,30912000.0,11591000.0,0.3739756081822288,0.16309608311286056,0.43734271149254694,468.0783
869,GBR,2018,44191.120190295,66436000.0,30786000.0,12045000.0,0.3896292941709258,0.14436824739600182,0.44018891117293135,463.3965
870,GBR,2019,44673.8178540794,66797000.0,30678000.0,12763000.0,0.4135238465526179,0.1122019180922758,0.44329963711767756,459.2735
871,GBR,2020,39876.1138391273,67081000.0,31002000.0,13826000.0,0.4441089554156495,0.0999614544520108,0.42840164461004754,462.1561
872,GBR,2021,43370.8884439538,67026000.0,31237000.0,13739000.0,0.4367271686957627,0.10324549413522363,0.43017896309482184,463.7963
873,GBR,2022,44745.330750814,67791000.0,31154594.23022184,14421109.732851617,0.46288870354993317,0.07870581859285504,0.45840547785721175,459.56829417211486
874,GBR,2023,44677.5793329891,68254851.7738075,31348703.676751245,14895536.112516286,0.4751563658296684,0.06579764914486148,0.45904598502547006,459.28901553605266
875,GBR,2024,44744.1317118076,68616456.9938476,31533609.161076363,15312764.380580977,0.4856013881050555,0.05486941613602833,0.45952919575891615,459.56335466145947
876,GBR,2025,45036.3668177327,68956262.5252037,31772562.746838085,15709834.738897592,0.4944465721595275,0.045659908790460536,0.45989351905001197,460.763991308623
877,GBR,2026,45568.43,69271045.4921129,32067881.454755884,16094967.445832236,0.5019030480245599,0.03792887145902952,0.4601680805164105,462.93341217734445
878,GBR,2027,46174.56,69564837.3848644,32374035.298803303,16451351.97385871,0.5081650100772834,0.03146006526480925,0.46037492465790725,465.37929959780365
879,GBR,2028,46809.21,69834472.0360938,32676373.294484265,16776283.327423947,0.5134071390430518,0.026062148084302034,0.46053071287264613,467.9117968787041
880,GBR,2029,47458.79,70079363.5525487,32970548.68867017,17071619.197291095,0.5177838973349418,0.02156807806750019,0.460648024597558,470.4744309492387
881,GBR,2030,48124.29,70301544.7388806,33257533.597641468,17341477.537826948,0.5214300539429285,0.01783359627225738,0.46073634978481415,473.0697415137769
882,GBR,2031,48821.05,70496309.2169305,33538978.533107854,17589918.25789875,0.5244619552302388,0.014735201396409502,0.46080284337335176,475.7550984676668
883,GBR,2032,49538.36,70686427.5074321,33822499.41697066,17823753.50902991,0.5269791948044716,0.012167907811218648,0.4608528973843097,478.48647342397527
884,GBR,2033,50278.98,70870879.134695,34108183.99522018,18045495.643076044,0.5290664447454865,0.010042981346245539,0.460890573908268,481.2722011024475
885,GBR,2034,51043.4,71049144.1059033,34395725.88648372,18257089.40599809,0.5307952931783442,0.008285774474433183,0.46091893234722264,484.1117555929271
886,GBR,2035,51831.58,71220853.1689577,34684742.29748407,18460121.422166947,0.5322259933153948,0.006833730209210042,0.4609402764753951,487.00262288632274
887,GBR,2036,52642.1,71387635.4669988,34975470.42266895,18656233.193395734,0.5334090712130611,0.005634587969815204,0.46095634081712367,489.9373707206967
888,GBR,2037,53476.35,71547275.4618631,35267000.922264434,18846218.63690712,0.5343867679150823,0.0046448009218359836,0.4609684311630817,492.9188525293717
889,GBR,2038,54329.87,71704581.8484849,35560396.57742696,19031721.91159948,0.535194310056723,0.003828159480706044,0.46097753046257095,495.9292092737913
890,GBR,2039,55204.4,71854559.9461505,35853477.80505039,19212480.98295792,0.5358610143044927,0.0031546070989092396,0.460984378596598,498.97289513594995
891,GBR,2040,56094.03,72001866.2598457,36146952.28774926,19389631.405711297,0.5364112374221583,0.002599230118761547,0.46098953245908014,502.0279912926068
892,GBR,2041,56996.92,72146028.0501577,36440049.915608674,19563394.20910272,0.5368651869141092,0.00214140188739431,0.46099341119849646,505.0874025978901
