LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,Scenario
FRA,2038,42092242.30313053,10523060.57578263,0.24999999999999997,0.1,0.65,REC
FRA,2039,42343165.389596745,10585791.347399184,0.24999999999999997,0.1,0.65,REC
FRA,2040,42588811.83441108,10647202.958602767,0.24999999999999997,0.1,0.65,REC
FRA,2041,42829877.1119552,10707469.277988799,0.24999999999999997,0.1,0.65,REC
FRA,2042,43066793.424369305,10766698.356092324,0.24999999999999997,0.1,0.65,REC
FRA,2043,43300100.6627796,10825025.165694898,0.24999999999999997,0.1,0.65,REC
FRA,2044,43529647.74348927,10882411.935872316,0.24999999999999997,0.1,0.65,REC
FRA,2045,43755284.99191199,10938821.247977996,0.24999999999999997,0.1,0.65,REC
FRA,2046,43974387.75854827,10993596.939637065,0.24999999999999997,0.1,0.65,REC
FRA,2047,44188739.13001455,11047184.782503637,0.24999999999999997,0.1,0.65,REC
FRA,2048,44398238.58531248,11099559.646328118,0.24999999999999997,0.1,0.65,REC
FRA,2049,44605244.91867164,11151311.229667908,0.24999999999999997,0.1,0.65,REC
FRA,2050,44811239.945419215,11202809.986354802,0.24999999999999997,0.1,0.65,REC
DEU,2022,50994252.156109095,16139209.685431793,0.31649076127295106,7.203149825654536e-05,0.6834372072287924,REC
DEU,2023,51144265.03577257,16119839.619959319,0.3151837182269486,4.670049994515127e-05,0.6847695812731063,REC
DEU,2024,51359089.74476727,16128951.164793415,0.3140427769445956,3.027688604287125e-05,0.6859269461693616,REC
DEU,2025,51673025.37191542,16176166.583654856,0.3130485677435619,1.962884676648597e-05,0.6869318034096716,REC
DEU,2026,51968325.668809526,16223648.16907835,0.31218339171576387,1.2725486943341952e-05,0.6878038827972928,REC
DEU,2027,52215084.69472941,16261411.539382813,0.3114312968073044,8.249952947218147e-06,0.6885604532397483,REC
DEU,2028,52435876.37411326,16295919.143916603,0.3107780449334043,5.348436843338274e-06,0.6892166066297524,REC
DEU,2029,52638316.13613104,16328985.618330888,0.31021101769482023,3.467378043648749e-06,0.6897855149271361,REC
